ggl_name,bng_name,reach
Origo,,2562
www.zsurpubi.hu (szatíra) (sajtóközlemény) (Blog),,2562
Lakáskultúra,,2562
PC Guru,,2562
24.hu,,2562
BEOL.hu,,2562
BAON.hu,,2562
Somogyi Hírlap,,2562
TEOL,,2562
Szoljon.hu,,2562
Index,,2562
Reykjavík Grapevine,,20712
Kjarninn (Fréttatilkynning),,12427
Independent.ie,,1423
Irish Times,,87679
Daily Star,,728271
Irish Examiner,,49977
The Times,,3785
Sunday Business Post,,22568
The Nationalist,,724
Clare Champion,,724
Echo Live,,26303
Highland Radio,,9522
Donegal Democrat,,6737
Connacht Tribune Group,,724
Galway Advertiser,,724
The Kerryman,,17436
Leinster Leader,,5031
Kilkenny People,,9286
Leitrim Observer,,5500
Limerick Leader,,724
Limerick Post,,43839
Longford Leader,,6284
The Argus,,29891
Drogheda Independent,,724
Dundalk Democrat,,724
Meath Chronicle,,9095
Sligo Champion,,724
Nenagh Guardian,,5700
TipperaryLive.ie,,7954
Munster Express,,724
Westmeath Examiner,,5014
Westmeath Independent,,724
Westmeath Topic,,8767
Gorey Guardian,,724
New Ross Standard,,724
Wexford People,,724
An Phoblacht,,17535
University Observer Online,,1315
The University Times,,8767
Irish Farmers Journal,,53426
The Irish Field,,724
York Press,,153439
thejournal.ie,,724
Offaly Express,,724
Southern Star Newspaper,,43839
The Irish Catholic,,22909
The Irish News,,5460
Anglo Celt,,15782
Derry Journal,,55744
Leinster Express,,724
Evening Standard,,2542551
Carlow Live,,724
Dublin Inquirer,,724
Fremont Tribune,,724
The Avondhu Press (press release),,724
Slugger O'Toole,,724
Herald.ie,,724
Waterford Live,,724
Linn County Leader,,724
Corriere della Sera,,1493747
La Repubblica,,1488666
La Gazzetta dello Sport,,831956
La Stampa,,708244
Il Sole 24 ORE,,399233
Il Resto del Carlino,,403744
Il Messaggero,,487199
Avvenire.it,,239778
Corriere dello Sport.it,,508950
La Nazione,,311266
il Giornale,,417011
Tuttosport,,260590
Il Mattino,,179481
Italia Oggi,,195989
Il Fatto Quotidiano,,177442
Il Tempo,,114246
Il Manifesto,,23719
Il Foglio,,56388
Il Riformista,,33833
Il Gazzettino,,196224
Il Secolo XIX,,232825
Il Tirreno,,123829
L'Unione Sarda,,154126
Messaggero Veneto,,99921
L'Eco di Bergamo,,126311
La Nuova Sardegna,,95409
Gazzetta di Parma,,96988
Giornale di Brescia,,41546416
Gazzetta del Sud,,112489
Il Piccolo,,64959
La Gazzetta del Mezzogiorno,,199109
Giornale di Sicilia,,151871
La Sicilia,,145596
Gazzetta di Mantova,,54584
La Provincia,,16916
La Provincia Pavese,,35412
la Nuova di Venezia,,34778
Corriere Adriatico,,43757
la tribuna di Treviso,,30224
Corriere dell'Umbria,,16916
Gazzetta di Reggio,,23683
Gazzetta di Modena,,16916
Leggo.it,,1612721
Milano Finanza,,16916
Quotidiano.net,,16916
Il Secolo d'Italia,,22555
Brescia Oggi,,16916
Guerin Sportivo,,101651
Die Neue Südtiroler Tageszeitung Online,,27066
Il Giornale di Vicenza,,16916
La Provincia di Como,,16916
il mattino di Padova,,16916
Quotidiano di Puglia,,16916
Corriere di Arezzo,,16916
Corriere di Rieti,,16916
Corriere di Siena,,16916
Corriere di Viterbo (Blog),,16916
Quotidiano del Sud,,16916
La Nuova Ferrara,,16916
Diena,,2082
Latvijas Avīze,,2082
Neatkarīgā Rīta Avīze,,2082
СЕГОДНЯ,,2082
Bauskas Dzīve,,2082
Brīvā Daugava,,2082
Dzirkstele,,2082
liepajniekiem.lv,,2082
Kurzemnieks (Emuārs),,2082
Neatkarīgās Tukuma Ziņas,,2776
Rīgas Apriņķa Avīze,,2082
Talsu Vēstis,,2082
Ziemellatvija,,2082
Dienas Bizness (Paziņojums presei),,2082
Liechtensteiner Vaterland,,16146
Verslo žinios,,24432
Kauno diena,,495174
Vakarų ekspresas,,195463
Kurier Wileński,,32577
Trakų žemė,,24432
Sekundė.lt,,24432
Šiaulių kraštas,,24432
Lëtzebuerger Journal,,382024
Tageblatt online,,12092
Luxemburger Wort,,49483
Luxemburger Wort - Contacto,,5655
Times of Malta,,51436
Malta Independent Online,,38577
MaltaToday,,38577
Kullhadd,,38577
Новости (Сатира),,17730
